benchmark,benchmark_label,seed,estimator,n_particles,k,tau,w2_sq_proxy,kl_pairwise,max_slack,component_loss,missing_fraction,wallclock_sec,selector_branch,c3,c4,protocol
disconnected_disks,Disconnected disks,11,Plugin_Estimator,80,12,0.9,0.015189928732421242,0.3585309019044327,0.0,0,0.0,0.35363854200113565,not_applicable,9.977959632873535,106.49339294433594,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,11,k_Ensemble,80,12,0.9,0.014009302474269136,0.21326304941718954,0.0,0,0.0,0.045553874981123954,not_applicable,9.977959632873535,106.49339294433594,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,11,MLE_Exp,80,12,0.9,0.015189928732421242,0.3585309019044327,0.0,0,0.0,0.03150874999118969,not_applicable,9.977959632873535,106.49339294433594,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,11,PMM2/MLE,80,12,0.9,0.012995119765789575,0.09652097742875168,0.0,0,0.0,0.0610164999961853,PMM2,9.977959632873535,106.49339294433594,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,17,Plugin_Estimator,80,12,0.9,0.006909015838934043,0.08419140236652152,0.0,0,0.0,0.0008189170039258897,not_applicable,3.5772058963775635,15.449663162231445,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,17,k_Ensemble,80,12,0.9,0.007575024930106762,0.10307553039928705,0.0,0,0.0,0.0008481669938191772,not_applicable,3.5772058963775635,15.449663162231445,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,17,MLE_Exp,80,12,0.9,0.006909015838934043,0.08419140236652152,0.0,0,0.0,0.000799250032287091,not_applicable,3.5772058963775635,15.449663162231445,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,17,PMM2/MLE,80,12,0.9,0.006477297827413135,0.05626203207445417,0.0,0,0.0,0.004087832989171147,PMM2,3.5772058963775635,15.449663162231445,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,23,Plugin_Estimator,80,12,0.9,0.010955187554925982,0.11695915193921752,0.0,0,0.0,0.0026163329603150487,not_applicable,7.120784759521484,79.413818359375,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,23,k_Ensemble,80,12,0.9,0.010992277273215683,0.09606992086515903,0.0,0,0.0,0.0010874579893425107,not_applicable,7.120784759521484,79.413818359375,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,23,MLE_Exp,80,12,0.9,0.010955187554925982,0.11695915193921752,0.0,0,0.0,0.002000290958676487,not_applicable,7.120784759521484,79.413818359375,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,23,PMM2/MLE,80,12,0.9,0.010759538203127627,0.07440774476247507,0.0,0,0.0,0.0011208750074729323,PMM2,7.120784759521484,79.413818359375,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,31,Plugin_Estimator,80,12,0.9,0.006819070056397566,0.17298575338913325,0.0,0,0.0,0.000930582988075912,not_applicable,4.744433879852295,29.622745513916016,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,31,k_Ensemble,80,12,0.9,0.0069681174152560355,0.187525571663599,0.0,0,0.0,0.0008083750144578516,not_applicable,4.744433879852295,29.622745513916016,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,31,MLE_Exp,80,12,0.9,0.006819070056397566,0.17298575338913325,0.0,0,0.0,0.0007482919609174132,not_applicable,4.744433879852295,29.622745513916016,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,31,PMM2/MLE,80,12,0.9,0.006313696309186453,0.10221415178735224,0.0,0,0.0,0.0009822080028243363,PMM2,4.744433879852295,29.622745513916016,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,43,Plugin_Estimator,80,12,0.9,0.013146501690254293,0.3401829735259189,0.0,0,0.0,0.0007376670255325735,not_applicable,10.710143089294434,122.99613952636719,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,43,k_Ensemble,80,12,0.9,0.01161264573753845,0.21503109428183836,0.0,0,0.0,0.000818041036836803,not_applicable,10.710143089294434,122.99613952636719,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,43,MLE_Exp,80,12,0.9,0.013146501690254293,0.3401829735259189,0.0,0,0.0,0.0007914169691503048,not_applicable,10.710143089294434,122.99613952636719,component_sweep_resampling_proxy
disconnected_disks,Disconnected disks,43,PMM2/MLE,80,12,0.9,0.010611480053418804,0.05813501070752718,0.0,0,0.0,0.0009981249459087849,PMM2,10.710143089294434,122.99613952636719,component_sweep_resampling_proxy
