benchmark,benchmark_label,seed,estimator,iteration,tau,w2_sq_proxy,protocol
seven_lobes,Seven lobes,11,Plugin_Estimator,0,0.95,0.004862570118414292,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,1,0.95,0.004780461210575872,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,2,0.95,0.005929713977207357,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,3,0.95,0.004946033699306939,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,4,0.95,0.006320159720095034,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,5,0.95,0.006608808686241772,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,6,0.95,0.005795071369685794,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,7,0.95,0.006543550715838765,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,8,0.95,0.00669369255860415,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,k_Ensemble,0,0.95,0.004862570118414292,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,k_Ensemble,1,0.95,0.003800513218905551,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,k_Ensemble,2,0.95,0.003627674978549094,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,k_Ensemble,3,0.95,0.0033846774985577654,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,k_Ensemble,4,0.95,0.003649918688026286,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,k_Ensemble,5,0.95,0.004402053479824407,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,k_Ensemble,6,0.95,0.00520825705674092,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,k_Ensemble,7,0.95,0.0038875888440007113,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,k_Ensemble,8,0.95,0.003992906284148238,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,MLE_Exp,0,0.95,0.004862570118414292,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,MLE_Exp,1,0.95,0.004780461210575872,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,MLE_Exp,2,0.95,0.005929713977207357,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,MLE_Exp,3,0.95,0.004946033699306939,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,MLE_Exp,4,0.95,0.006320159720095034,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,MLE_Exp,5,0.95,0.006608808686241772,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,MLE_Exp,6,0.95,0.005795071369685794,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,MLE_Exp,7,0.95,0.006543550715838765,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,MLE_Exp,8,0.95,0.00669369255860415,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,PMM2/PMM3,0,0.95,0.004862570118414292,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,PMM2/PMM3,1,0.95,0.0031907699891280585,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,PMM2/PMM3,2,0.95,0.0030927675438117805,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,PMM2/PMM3,3,0.95,0.0028799136029659484,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,PMM2/PMM3,4,0.95,0.002742055769956342,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,PMM2/PMM3,5,0.95,0.002568563285522252,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,PMM2/PMM3,6,0.95,0.002435686138263559,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,PMM2/PMM3,7,0.95,0.0024377371825267066,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,11,PMM2/PMM3,8,0.95,0.002516702886513488,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,0,0.95,0.003944049646927524,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,1,0.95,0.005299486030349234,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,2,0.95,0.005949762974152764,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,3,0.95,0.004845844621019547,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,4,0.95,0.005333080704613571,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,5,0.95,0.005080323465724735,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,6,0.95,0.007163879895393662,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,7,0.95,0.008067373276513483,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,8,0.95,0.007408850901598626,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,k_Ensemble,0,0.95,0.003944049646927524,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,k_Ensemble,1,0.95,0.004382281986441477,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,k_Ensemble,2,0.95,0.003517631719165161,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,k_Ensemble,3,0.95,0.003198825805050579,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,k_Ensemble,4,0.95,0.0036516045292783366,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,k_Ensemble,5,0.95,0.003013608596113765,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,k_Ensemble,6,0.95,0.003910649344824048,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,k_Ensemble,7,0.95,0.0042090844018042965,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,k_Ensemble,8,0.95,0.004501666455909942,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,MLE_Exp,0,0.95,0.003944049646927524,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,MLE_Exp,1,0.95,0.005299486030349234,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,MLE_Exp,2,0.95,0.005949762974152764,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,MLE_Exp,3,0.95,0.004845844621019547,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,MLE_Exp,4,0.95,0.005333080704613571,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,MLE_Exp,5,0.95,0.005080323465724735,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,MLE_Exp,6,0.95,0.007163879895393662,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,MLE_Exp,7,0.95,0.008067373276513483,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,MLE_Exp,8,0.95,0.007408850901598626,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,PMM2/PMM3,0,0.95,0.003944049646927524,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,17,PMM2/PMM3,1,0.95,0.003826430278494298,iterated_resampling_with_matched_refresh_proxy
