benchmark,benchmark_label,seed,estimator,n_particles,k,tau,wallclock_sec,protocol
disconnected_disks,Disconnected disks,11,Plugin_Estimator,220,12,0.9,0.3795061669952702,single_step_resampling_proxy
disconnected_disks,Disconnected disks,11,k_Ensemble,220,12,0.9,0.04624908301047981,single_step_resampling_proxy
disconnected_disks,Disconnected disks,11,MLE_Exp,220,12,0.9,0.03613949997816235,single_step_resampling_proxy
disconnected_disks,Disconnected disks,11,PMM2/PMM3,220,12,0.9,0.10280074999900535,single_step_resampling_proxy
disconnected_disks,Disconnected disks,17,Plugin_Estimator,220,12,0.9,0.00298641697736457,single_step_resampling_proxy
disconnected_disks,Disconnected disks,17,k_Ensemble,220,12,0.9,0.002966999978525564,single_step_resampling_proxy
disconnected_disks,Disconnected disks,17,MLE_Exp,220,12,0.9,0.0028727499884553254,single_step_resampling_proxy
disconnected_disks,Disconnected disks,17,PMM2/PMM3,220,12,0.9,0.003267624997533858,single_step_resampling_proxy
disconnected_disks,Disconnected disks,23,Plugin_Estimator,220,12,0.9,0.0029751659894827753,single_step_resampling_proxy
disconnected_disks,Disconnected disks,23,k_Ensemble,220,12,0.9,0.002896457997849211,single_step_resampling_proxy
disconnected_disks,Disconnected disks,23,MLE_Exp,220,12,0.9,0.0029138330137357116,single_step_resampling_proxy
disconnected_disks,Disconnected disks,23,PMM2/PMM3,220,12,0.9,0.0034101670025847852,single_step_resampling_proxy
disconnected_disks,Disconnected disks,31,Plugin_Estimator,220,12,0.9,0.002880874992115423,single_step_resampling_proxy
disconnected_disks,Disconnected disks,31,k_Ensemble,220,12,0.9,0.002849666983820498,single_step_resampling_proxy
disconnected_disks,Disconnected disks,31,MLE_Exp,220,12,0.9,0.002826875017490238,single_step_resampling_proxy
disconnected_disks,Disconnected disks,31,PMM2/PMM3,220,12,0.9,0.0033380000095348805,single_step_resampling_proxy
disconnected_disks,Disconnected disks,43,Plugin_Estimator,220,12,0.9,0.002885666996007785,single_step_resampling_proxy
disconnected_disks,Disconnected disks,43,k_Ensemble,220,12,0.9,0.002920250000897795,single_step_resampling_proxy
disconnected_disks,Disconnected disks,43,MLE_Exp,220,12,0.9,0.002858291001757607,single_step_resampling_proxy
disconnected_disks,Disconnected disks,43,PMM2/PMM3,220,12,0.9,0.003828332992270589,single_step_resampling_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,220,12,0.95,0.0050728330097626895,single_step_resampling_proxy
seven_lobes,Seven lobes,11,k_Ensemble,220,12,0.95,0.004688292014179751,single_step_resampling_proxy
seven_lobes,Seven lobes,11,MLE_Exp,220,12,0.95,0.007973375002620742,single_step_resampling_proxy
seven_lobes,Seven lobes,11,PMM2/PMM3,220,12,0.95,0.006893915997352451,single_step_resampling_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,220,12,0.95,0.0033499160199426115,single_step_resampling_proxy
seven_lobes,Seven lobes,17,k_Ensemble,220,12,0.95,0.0030597920122090727,single_step_resampling_proxy
seven_lobes,Seven lobes,17,MLE_Exp,220,12,0.95,0.0030010840273462236,single_step_resampling_proxy
seven_lobes,Seven lobes,17,PMM2/PMM3,220,12,0.95,0.003253500006394461,single_step_resampling_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,220,12,0.95,0.0033982500026468188,single_step_resampling_proxy
seven_lobes,Seven lobes,23,k_Ensemble,220,12,0.95,0.0029862080118618906,single_step_resampling_proxy
seven_lobes,Seven lobes,23,MLE_Exp,220,12,0.95,0.0028410419763531536,single_step_resampling_proxy
seven_lobes,Seven lobes,23,PMM2/PMM3,220,12,0.95,0.0033991670061368495,single_step_resampling_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,220,12,0.95,0.0028667910082731396,single_step_resampling_proxy
seven_lobes,Seven lobes,31,k_Ensemble,220,12,0.95,0.0029671670054085553,single_step_resampling_proxy
seven_lobes,Seven lobes,31,MLE_Exp,220,12,0.95,0.0027271660219412297,single_step_resampling_proxy
seven_lobes,Seven lobes,31,PMM2/PMM3,220,12,0.95,0.003306875005364418,single_step_resampling_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,220,12,0.95,0.0028597920027095824,single_step_resampling_proxy
seven_lobes,Seven lobes,43,k_Ensemble,220,12,0.95,0.0031105829984880984,single_step_resampling_proxy
seven_lobes,Seven lobes,43,MLE_Exp,220,12,0.95,0.002850374992704019,single_step_resampling_proxy
seven_lobes,Seven lobes,43,PMM2/PMM3,220,12,0.95,0.003239082987420261,single_step_resampling_proxy
sine,Sine curve,11,Plugin_Estimator,220,12,0.75,0.004429916007211432,single_step_resampling_proxy
sine,Sine curve,11,k_Ensemble,220,12,0.75,0.0027765409904532135,single_step_resampling_proxy
sine,Sine curve,11,MLE_Exp,220,12,0.75,0.0028565840038936585,single_step_resampling_proxy
sine,Sine curve,11,PMM2/PMM3,220,12,0.75,0.0031850409868638963,single_step_resampling_proxy
sine,Sine curve,17,Plugin_Estimator,220,12,0.75,0.0029123749991413206,single_step_resampling_proxy
sine,Sine curve,17,k_Ensemble,220,12,0.75,0.002729291998548433,single_step_resampling_proxy
sine,Sine curve,17,MLE_Exp,220,12,0.75,0.0027040830173064023,single_step_resampling_proxy
sine,Sine curve,17,PMM2/PMM3,220,12,0.75,0.003169000003254041,single_step_resampling_proxy
sine,Sine curve,23,Plugin_Estimator,220,12,0.75,0.0030381670221686363,single_step_resampling_proxy
sine,Sine curve,23,k_Ensemble,220,12,0.75,0.0027422500133980066,single_step_resampling_proxy
sine,Sine curve,23,MLE_Exp,220,12,0.75,0.0025992500013671815,single_step_resampling_proxy
sine,Sine curve,23,PMM2/PMM3,220,12,0.75,0.003146875009406358,single_step_resampling_proxy
sine,Sine curve,31,Plugin_Estimator,220,12,0.75,0.002797666995320469,single_step_resampling_proxy
sine,Sine curve,31,k_Ensemble,220,12,0.75,0.003164207999361679,single_step_resampling_proxy
sine,Sine curve,31,MLE_Exp,220,12,0.75,0.002831374993547797,single_step_resampling_proxy
sine,Sine curve,31,PMM2/PMM3,220,12,0.75,0.017485083983046934,single_step_resampling_proxy
sine,Sine curve,43,Plugin_Estimator,220,12,0.75,0.05833491598605178,single_step_resampling_proxy
sine,Sine curve,43,k_Ensemble,220,12,0.75,0.014723667001817375,single_step_resampling_proxy
sine,Sine curve,43,MLE_Exp,220,12,0.75,0.004472041997360066,single_step_resampling_proxy
sine,Sine curve,43,PMM2/PMM3,220,12,0.75,0.004552292026346549,single_step_resampling_proxy
swiss_roll,Swiss roll,11,Plugin_Estimator,220,12,0.9,0.06863516601151787,single_step_resampling_proxy
swiss_roll,Swiss roll,11,k_Ensemble,220,12,0.9,0.003070542006753385,single_step_resampling_proxy
swiss_roll,Swiss roll,11,MLE_Exp,220,12,0.9,0.0029603329894598573,single_step_resampling_proxy
swiss_roll,Swiss roll,11,PMM2/PMM3,220,12,0.9,0.005146957992110401,single_step_resampling_proxy
swiss_roll,Swiss roll,17,Plugin_Estimator,220,12,0.9,0.00307837498257868,single_step_resampling_proxy
swiss_roll,Swiss roll,17,k_Ensemble,220,12,0.9,0.002978833013912663,single_step_resampling_proxy
swiss_roll,Swiss roll,17,MLE_Exp,220,12,0.9,0.0029915409977547824,single_step_resampling_proxy
swiss_roll,Swiss roll,17,PMM2/PMM3,220,12,0.9,0.0034730829938780516,single_step_resampling_proxy
swiss_roll,Swiss roll,23,Plugin_Estimator,220,12,0.9,0.003043707984033972,single_step_resampling_proxy
swiss_roll,Swiss roll,23,k_Ensemble,220,12,0.9,0.0029209999775048345,single_step_resampling_proxy
swiss_roll,Swiss roll,23,MLE_Exp,220,12,0.9,0.002933042007498443,single_step_resampling_proxy
swiss_roll,Swiss roll,23,PMM2/PMM3,220,12,0.9,0.003329500003019348,single_step_resampling_proxy
swiss_roll,Swiss roll,31,Plugin_Estimator,220,12,0.9,0.004061790998093784,single_step_resampling_proxy
swiss_roll,Swiss roll,31,k_Ensemble,220,12,0.9,0.0029500000237021595,single_step_resampling_proxy
swiss_roll,Swiss roll,31,MLE_Exp,220,12,0.9,0.0029932089964859188,single_step_resampling_proxy
swiss_roll,Swiss roll,31,PMM2/PMM3,220,12,0.9,0.003773125004954636,single_step_resampling_proxy
swiss_roll,Swiss roll,43,Plugin_Estimator,220,12,0.9,0.003009333013324067,single_step_resampling_proxy
swiss_roll,Swiss roll,43,k_Ensemble,220,12,0.9,0.0032285000197589397,single_step_resampling_proxy
swiss_roll,Swiss roll,43,MLE_Exp,220,12,0.9,0.0029704170010518283,single_step_resampling_proxy
swiss_roll,Swiss roll,43,PMM2/PMM3,220,12,0.9,0.003934499982278794,single_step_resampling_proxy
scaling_stress,Scaling stress-test,11,Plugin_Estimator,220,12,0.8,0.0028879999881610274,single_step_resampling_proxy
scaling_stress,Scaling stress-test,11,k_Ensemble,220,12,0.8,0.003240207995986566,single_step_resampling_proxy
scaling_stress,Scaling stress-test,11,MLE_Exp,220,12,0.8,0.0028889579989481717,single_step_resampling_proxy
scaling_stress,Scaling stress-test,11,PMM2/PMM3,220,12,0.8,0.003348458994878456,single_step_resampling_proxy
scaling_stress,Scaling stress-test,17,Plugin_Estimator,220,12,0.8,0.0029670420044567436,single_step_resampling_proxy
scaling_stress,Scaling stress-test,17,k_Ensemble,220,12,0.8,0.002980000019306317,single_step_resampling_proxy
scaling_stress,Scaling stress-test,17,MLE_Exp,220,12,0.8,0.003082292008912191,single_step_resampling_proxy
scaling_stress,Scaling stress-test,17,PMM2/PMM3,220,12,0.8,0.003680374997202307,single_step_resampling_proxy
scaling_stress,Scaling stress-test,23,Plugin_Estimator,220,12,0.8,0.0036042080027982593,single_step_resampling_proxy
scaling_stress,Scaling stress-test,23,k_Ensemble,220,12,0.8,0.0030652919958811253,single_step_resampling_proxy
scaling_stress,Scaling stress-test,23,MLE_Exp,220,12,0.8,0.003166707989294082,single_step_resampling_proxy
scaling_stress,Scaling stress-test,23,PMM2/PMM3,220,12,0.8,0.003344916010973975,single_step_resampling_proxy
scaling_stress,Scaling stress-test,31,Plugin_Estimator,220,12,0.8,0.0035142499837093055,single_step_resampling_proxy
scaling_stress,Scaling stress-test,31,k_Ensemble,220,12,0.8,0.002990999986650422,single_step_resampling_proxy
scaling_stress,Scaling stress-test,31,MLE_Exp,220,12,0.8,0.0033570420055184513,single_step_resampling_proxy
scaling_stress,Scaling stress-test,31,PMM2/PMM3,220,12,0.8,0.003504374995827675,single_step_resampling_proxy
scaling_stress,Scaling stress-test,43,Plugin_Estimator,220,12,0.8,0.0030313750030472875,single_step_resampling_proxy
scaling_stress,Scaling stress-test,43,k_Ensemble,220,12,0.8,0.0031462920014746487,single_step_resampling_proxy
scaling_stress,Scaling stress-test,43,MLE_Exp,220,12,0.8,0.0029402079817373306,single_step_resampling_proxy
scaling_stress,Scaling stress-test,43,PMM2/PMM3,220,12,0.8,0.0034680830140132457,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,11,Plugin_Estimator,220,12,0.85,0.0029122910054866225,single_step_resampling_proxy
